external_id,name,category_raw,address_clean,postcode_digits,city_market,lat,lon,website_norm,phones_e164,emails_final_clean,facebook_url_final_clean_best,instagram_url_final_clean_best,whatsapp_url_final_clean_best,youtube_url_final_clean_best,tiktok_url_final_clean_best,linkedin_url_final_clean_best,telegram_url_final_clean_best,twitter_url_final_clean_best,pinterest_url_final_clean_best,google_maps_url,open_status_norm,working_hours
ChIJNVQNg6H4sUARcmVtkcooK8M,Expert Implant - Cabinet Stomatologic Sector 2,Clinică de stomatologie,"Strada Ceaikovski 15A, București",020262,București,44.465246,26.1079535,https://www.expertimplant.ro/,+40744543000,contact@expertimplant.ro,https://www.facebook.com/expertimplant.ro,,,,,,,,,https://www.google.com/maps/place/Expert+Implant+-+Cabinet+Stomatologic+Sector+2/data=!4m7!3m6!1s0x40b1f8a1830d5435:0xc32b28ca916d6572!8m2!3d44.465246!4d26.1079535!16s%2Fg%2F1hhjx2s4k!19sChIJNVQNg6H4sUARcmVtkcooK8M?authuser=0&hl=ru&rclk=1,open,miercuri: 12–19; joi: 12–19; vineri: 12–19; sâmbătă: Închis; duminică: Închis; luni: 12–19; marți: 12–19
ChIJz5YrdAUCskARFdmI2Fc9ENA,DENT ESTET 4 TEENS,Clinică de stomatologie,"Bulevardul Aviatorilor Nr. 27, București",010016,București,44.46194,26.085534,https://de4teens.ro/contact/,+40756206030,smile@de4teens.ro,https://www.facebook.com/DENTESTET4TEENS,https://www.instagram.com/dent.estet.4.teens,,,,,,,,https://www.google.com/maps/place/DENT+ESTET+4+TEENS/data=!4m7!3m6!1s0x40b20205742b96cf:0xd0103d57d888d915!8m2!3d44.46194!4d26.085534!16s%2Fg%2F1234lrqc0!19sChIJz5YrdAUCskARFdmI2Fc9ENA?authuser=0&hl=ru&rclk=1,open,miercuri: 08–21; joi: 08–21; vineri: 08–21; sâmbătă: 08–14; duminică: Închis; luni: 08–21; marți: 08–21
g/11j7c1tdzg,DentOP Petru Rareș,Clinică de stomatologie,"Strada Petru Rareș 15, București",011101,București,44.4510929,26.0720396,https://dentop.ro/,+40371701178,contact@dentop.ro,https://www.facebook.com/DentOPRomania,https://www.instagram.com/dentop.ro,https://wa.me/+40756991131,https://www.youtube.com/channel/UCXe_ou9TYHDcO3L5u1sqlaw,,,,,,"https://www.google.com/maps/place/DentOP+Petru+Rare%C8%99/@44.4510929,26.0720396,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1ffde1eaac83d:0xbfa41f87ca7e7d21!8m2!3d44.4510929!4d26.0720396!16s%2Fg%2F11j7c1tdzg?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: 09–15; duminică: Închis; luni: 09–21; marți: 09–21
g/11clybhv1j,DentoCare,Ortodontist,"Strada Ion Minulescu 45, București",031215,București,44.4173438,26.1183955,https://dentocare.ro/,+40720134665,,https://www.facebook.com/dentocare.ro,,,,,,,,,"https://www.google.com/maps/place/DentoCare/@44.4173438,26.1183955,17z/data=!3m1!4b1!4m6!3m5!1s0x40b1fee2edafedf3:0xb38e67f30efcffc3!8m2!3d44.4173438!4d26.1183955!16s%2Fg%2F11clybhv1j?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 08–21; joi: 08–21; vineri: 08–21; sâmbătă: Închis; duminică: Închis; luni: 08–21; marți: 08–21
g/1hhw9cld7,Nicolescu-Agatstein Dental Clinique,Clinică de stomatologie,"Bulevardul Primăverii 24, București",014192,București,44.4677625,26.0898706,https://www.nicolescu-agatstein.ro/,+40731400851,clinique@nicolescu-agatstein.ro,,,,,,,,,,"https://www.google.com/maps/place/Nicolescu-Agatstein+Dental+Clinique/@44.4677625,26.0898706,17z/data=!3m1!4b1!4m6!3m5!1s0x40b2020dc2f1885b:0x7d04269a9f67ce2!8m2!3d44.4677625!4d26.0898706!16s%2Fg%2F1hhw9cld7?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: Închis; duminică: Închis; luni: 09–21; marți: 09–21
ChIJCfyEt4D_sUARdkyxYZrIF3E,DENT ESTET Unirii,Clinică de stomatologie,"Bulevardul Dimitrie Cantemir 1, București",040231,București,44.425501,26.104953,https://www.dentestet.ro/,+40735300906,smile@dentestet.ro,https://www.facebook.com/DENTESTET4TEENS,https://www.instagram.com/dent.estet.4.teens,,https://www.youtube.com/user/ClinicaDentEstet,,https://www.linkedin.com/company/dent-estet,,,,https://www.google.com/maps/place/DENT+ESTET+Unirii/data=!4m7!3m6!1s0x40b1ff80b784fc09:0x7117c89a61b14c76!8m2!3d44.425501!4d26.104953!16s%2Fg%2F11ydtkzmmh!19sChIJCfyEt4D_sUARdkyxYZrIF3E?authuser=0&hl=ru&rclk=1,open,miercuri: 08–21; joi: 08–21; vineri: 08–21; sâmbătă: 08–14; duminică: Închis; luni: 08–21; marți: 08–21
ChIJSUgYv3r_sUARt8wg7L7EOlU,DentalMed,Stomatolog,"Calea 13 Septembrie 102, București",050727,București,44.425066,26.0754297,https://www.dental-med.ro/,+40372330300,contact@dental-med.ro,https://www.facebook.com/Dentalmed-Luxury-Dental-Clinic-206776372796108,https://www.instagram.com/dentalmedluxury,,https://www.youtube.com/user/DentalMedClinic,https://www.tiktok.com/@dentalmedluxury,,,,,https://www.google.com/maps/place/DentalMed/data=!4m7!3m6!1s0x40b1ff7abf184849:0x553ac4beec20ccb7!8m2!3d44.425066!4d26.0754297!16s%2Fg%2F1tjt0fct!19sChIJSUgYv3r_sUARt8wg7L7EOlU?authuser=0&hl=ru&rclk=1,open,miercuri: 09–20:30; joi: 09–20:30; vineri: 09–20:30; sâmbătă: 09–14; duminică: Închis; luni: 09–20:30; marți: 09–20:30
g/11xf9zcfs,Clinica Trident Cotroceni,Clinică de stomatologie,"Strada Doctor Louis Pasteur 1A, București",050533,București,44.4310984,26.0788255,https://clinicatrident.ro/contact/,+40310050920,office@clinicatrident.ro,https://www.facebook.com/clinicile.trident,https://www.instagram.com/clinicile_trident,,https://www.youtube.com/@ClinicaTrident,,,,,,"https://www.google.com/maps/place/Clinica+Trident+Cotroceni/@44.4310984,26.0788255,17z/data=!3m1!4b1!4m6!3m5!1s0x40b201dfd9634889:0x6b9122dc15d35c44!8m2!3d44.4310984!4d26.0788255!16s%2Fg%2F11xf9zcfs?entry=ttu&g_ep=EgoyMDI1MTAyOC4wIKXMDSoASAFQAw%3D%3D",open,miercuri: 09–21; joi: 09–21; vineri: 09–21; sâmbătă: 09–15; duminică: Închis; luni: 09–21; marți: 09–21
ChIJ8bKbgQX_sUARJkv97jfi7Vw,Clinic Dr. Melnic,Clinică de stomatologie,"Strada Biserica Alexe 2, București",040269,București,44.4170338,26.1015486,https://clinicadrmelnic.ro/contact/,+40374491740,receptie@clinicadrmelnic.ro,https://www.facebook.com/ClinicaDrMelnic,https://www.instagram.com/clinicadrmelnic,,,,,,,,https://www.google.com/maps/place/Clinic+Dr.+Melnic/data=!4m7!3m6!1s0x40b1ff05819bb2f1:0x5cede237eefd4b26!8m2!3d44.4170338!4d26.1015486!16s%2Fg%2F11c2kjsczp!19sChIJ8bKbgQX_sUARJkv97jfi7Vw?authuser=0&hl=ru&rclk=1,open,miercuri: 09–20; joi: 09–20; vineri: 09–20; sâmbătă: 10–16; duminică: Închis; luni: 09–20; marți: 09–20
ChIJNcnAXFP_sUARdnt147qOy0I,Centrul de protetică dentară și implantologie Dr. Melnic,Clinică de stomatologie,"Strada Biserica Alexe 19, București",041904,București,44.4173549,26.1021621,https://clinicadrmelnic.ro/,+40742213664,,https://www.facebook.com/ClinicaDrMelnic,https://www.instagram.com/clinicadrmelnic,,,,,,,,https://www.google.com/maps/place/Centrul+de+protetic%C4%83+dentar%C4%83+%C8%99i+implantologie+Dr.+Melnic/data=!4m7!3m6!1s0x40b1ff535cc0c935:0x42cb8ebae3757b76!8m2!3d44.4173549!4d26.1021621!16s%2Fg%2F11lgdm5qs1!19sChIJNcnAXFP_sUARdnt147qOy0I?authuser=0&hl=ru&rclk=1,open,miercuri: 08:30–20:30; joi: 09–17; vineri: 09–17; sâmbătă: 09–17; duminică: Închis; luni: 08:30–20:30; marți: 08:30–20:30
